"measureRepID","protocolID","sampleID","purpose","polygonID","siteID","datasetID","measureSetRepID","aDateStart","aDateEnd","reportDate","compartment","specimen","fraction","group","class","measure","value","unit","aggregation","nomenclature","index","measureLic","reportable","organizationID","contactID","refLink","lastEdited","notes"
"o.10.06.21nPPMoV2220","pgsSolidsPmmv","o.10.06.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-06","2021-10-07","wat","sa","solid",NA,NA,"nPPMoV",27.19998157,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.07.21covN12221","pgsSolidsN1","o.10.07.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-07","2021-10-08","wat","sa","solid",NA,NA,"covN1",0.000151488,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.07.21covN12222","pgsSolidsN1","o.10.07.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-07","2021-10-08","wat","sa","solid",NA,NA,"covN1",0.000040275,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.07.21covN22223","pgsSolidsN2","o.10.07.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-07","2021-10-08","wat","sa","solid",NA,NA,"covN2",0.000124261,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.07.21covN22224","pgsSolidsN2","o.10.07.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-07","2021-10-08","wat","sa","solid",NA,NA,"covN2",0.000020987,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.07.21nPPMoV2225","pgsSolidsPmmv","o.10.07.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-07","2021-10-08","wat","sa","solid",NA,NA,"nPPMoV",27.84284376,"Ct","mean",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.08.21covN12226","pgsSolidsN1","o.10.08.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-08","2021-10-12","wat","sa","solid",NA,NA,"covN1",0.000147384,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.08.21covN12227","pgsSolidsN1","o.10.08.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-08","2021-10-12","wat","sa","solid",NA,NA,"covN1",0.000035757,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.08.21covN22228","pgsSolidsN2","o.10.08.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-08","2021-10-12","wat","sa","solid",NA,NA,"covN2",0.000160745,"gcPMMoV","meanNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
"o.10.08.21covN22229","pgsSolidsN2","o.10.08.21","testing",NA,"Ottawa-1","Ottawa-1",NA,NA,"2021-10-08","2021-10-12","wat","sa","solid",NA,NA,"covN2",0.000024938,"gcPMMoV","sdNr",NA,NA,"open",TRUE,"Ottawa-1","delatollaLab","https://github.com/Delatolla-lab/PHESD",2024-02-05,NA
